"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Wine - Chianti Classico Riserva","Japan","51","227","Medium","2523"
"Wine - Segura Viudas Aria Brut","Poland","31","392","Low","2768"
"Bread - Granary Small Pull","Brazil","27","142","High","3040"
"Walkers Special Old Whiskey","Indonesia","66","219","Low","3432"
"Bread - Triangle White","Philippines","36","367","Medium","3409"
"Doilies - 5, Paper","Indonesia","4","194","High","3670"
"Wine - Trimbach Pinot Blanc","Sweden","2","181","High","2666"
"Coriander - Ground","Indonesia","58","328","Medium","2559"
"Parasol Pick Stir Stick","Japan","17","161","Medium","3691"
"Tandoori Curry Paste","Panama","35","360","Low","3422"
"Coriander - Seed","Peru","23","155","Low","3980"
"Ecolab - Hobart Washarm End Cap","Indonesia","30","157","High","3247"
"Easy Off Oven Cleaner","Canada","67","289","Low","3275"
"Lid - 16 Oz And 32 Oz","United States","32","319","Medium","3194"
"Wine - Casillero Del Diablo","Russia","87","272","Low","3070"
"Pastry - Raisin Muffin - Mini","Portugal","22","138","High","3188"
"Beans - Black Bean, Preserved","Indonesia","49","383","Medium","2713"
"Red Currants","Canada","53","334","Medium","2862"
"Sprouts Dikon","China","21","155","High","3468"
"Oven Mitts 17 Inch","Mexico","0","140","High","3649"
"Doilies - 7, Paper","China","48","255","Medium","3108"
"Asparagus - White, Fresh","China","72","282","Low","3197"
"Soy Protein","Poland","31","358","Medium","3206"
"Maintenance Removal Charge","Tanzania","67","256","Low","3319"
"Milk - Homo","Brazil","30","366","Medium","2852"
"Wine - Pinot Grigio Collavini","Chile","52","341","Medium","3366"
"Icecream Bar - Del Monte","Morocco","3","130","High","3322"
"Mace","Argentina","79","289","Low","3007"
"Chutney Sauce","Brazil","34","391","Medium","3332"
"Toothpick Frilled","Dominican Republic","-2","148","High","3705"
"Cheese Cheddar Processed","China","67","210","Low","3101"
"Beer - Blue Light","Croatia","72","285","Low","3336"
"V8 - Berry Blend","Dominican Republic","69","276","High","3227"
"Longan","Sudan","54","376","Medium","3113"
"Chives - Fresh","Egypt","57","346","Medium","3028"
"Pasta - Penne Primavera, Single","Indonesia","58","346","Medium","2821"
"Steel Wool S.o.s","China","0","171","High","3842"
"Cloves - Ground","Canada","11","200","High","3442"
"Radish","Mexico","77","202","Low","3424"
"Tabasco Sauce, 2 Oz","Thailand","17","111","Medium","4222"
"Potato - Sweet","Uruguay","81","286","Low","3416"
"Vinegar - Rice","Bangladesh","67","205","Low","3023"
"Squash - Butternut","China","48","305","Medium","2930"
"White Baguette","Greece","89","200","Low","3174"
"Blackberries","Philippines","34","394","Medium","2899"
"Worcestershire Sauce","Thailand","21","165","High","2948"
"Pasta - Orzo, Dry","Philippines","89","232","Low","3437"
"Tia Maria","China","17","152","High","3257"
"Black Currants","China","39","324","High","3413"
"Rum - Coconut, Malibu","Indonesia","32","344","High","2844"
"Alize Sunset","Poland","27","197","High","3055"
"Eggs - Extra Large","Argentina","43","358","High","2984"
"Soup - Cream Of Broccoli, Dry","China","88","284","Low","3507"
"Crackers - Melba Toast","China","73","245","Low","3061"
"Pastry - Chocolate Marble Tea","Sweden","63","265","High","3208"
"Initation Crab Meat","Russia","41","356","Medium","2627"
"Extract - Almond","China","52","396","Medium","3132"
"Tortillas - Flour, 12","China","53","349","Medium","3088"
"Swiss Chard - Red","Tunisia","59","326","Medium","2833"
"Tea - Camomele","Indonesia","47","384","High","2654"
"Lobster - Base","Costa Rica","59","326","Medium","3109"
"Pepper - Black, Crushed","United Kingdom","18","156","High","3690"
"General Purpose Trigger","China","21","169","Medium","3931"
"Food Colouring - Orange","France","62","201","Low","3006"
"Wine - Penfolds Koonuga Hill","China","17","126","Medium","3209"
"Pan Grease","China","38","436","Medium","3136"
"Gatorade - Xfactor Berry","Slovenia","34","358","High","3092"
"Rice Wine - Aji Mirin","Bulgaria","12","171","High","3422"
"Pasta - Canelloni, Single Serve","Morocco","71","300","Low","3420"
"Clementine","Philippines","37","304","Medium","3421"
"Chivas Regal - 12 Year Old","Madagascar","21","125","High","3000"
"Beef - Shank","Malaysia","28","192","High","3123"
"Potatoes - Mini Red","Panama","58","379","Medium","3017"
"Whmis Spray Bottle Graduated","Czech Republic","60","351","Medium","2564"
"Ice Cream Bar - Hagen Daz","Ukraine","58","347","Medium","3061"
"Apple - Delicious, Red","Montenegro","57","354","Medium","3286"
"Cornish Hen","Brazil","35","199","Medium","3506"
"Compound - Strawberry","Nigeria","71","228","Medium","3112"
"Magnotta Bel Paese Red","Australia","3","150","High","3270"
"Hinge W Undercut","Russia","80","236","Medium","3278"
"Salt - Kosher","Ecuador","31","187","Medium","3712"
"Table Cloth 144x90 White","Portugal","101","299","Low","3169"
"Veal - Bones","France","9","156","High","3357"
"Pork - Sausage, Medium","Philippines","73","222","Low","3019"
"Cookie Chocolate Chip With","Hong Kong","26","182","High","3070"
"Cheese - La Sauvagine","Canada","44","324","High","3344"
"Carrots - Mini Red Organic","China","10","200","High","3086"
"Mix - Cappucino Cocktail","Russia","18","129","High","3755"
"Oil - Macadamia","Serbia","47","381","Medium","2580"
"Ham - Proscuitto","China","90","256","Low","3190"
"Creme De Cacao White","New Zealand","67","210","Low","3140"
"Bread - Italian Corn Meal Poly","China","7","129","High","3260"
"Wine - Cave Springs Dry Riesling","Ukraine","58","221","Medium","3061"
"Wine - Casablanca Valley","Canada","3","183","High","3256"
"Beef - Prime Rib Aaa","France","28","173","High","3441"
"Bread - Roll, Italian","Mexico","24","137","High","3889"
"Cheese - Ermite Bleu","Finland","18","161","High","3912"
"Soup - Campbells Mushroom","Portugal","30","342","Medium","3119"
"Sprite, Diet - 355ml","Colombia","0","143","Medium","3959"
"Eggplant - Asian","Poland","76","286","Low","3005"
"Milk - Chocolate 500ml","Poland","55","436","Medium","3271"
"Juice - Apple, 341 Ml","Indonesia","67","236","Low","3393"
"Island Oasis - Ice Cream Mix","Costa Rica","5","271","Medium","3066"
"Wine - Port Late Bottled Vintage","Kyrgyzstan","89","233","Low","3462"
"Basil - Fresh","Peru","55","318","Medium","3476"
"Oil - Safflower","Poland","73","246","Low","3082"
"Wild Boar - Tenderloin","Poland","78","300","Low","3096"
"Hand Towel","Ethiopia","63","297","Low","3325"
"Carroway Seed","Canada","57","393","Medium","3018"
"Pork - Ground","China","29","163","High","3850"
"Vermacelli - Sprinkles, Assorted","Indonesia","1","146","High","3899"
"Cheese - Mozzarella, Shredded","Zambia","42","335","Medium","3375"
"Dish Towel","Brazil","47","335","Medium","3404"
"Duck - Fat","France","65","291","High","3167"
"Pike - Frozen Fillet","Argentina","90","208","Medium","3152"
"Lobster - Live","Poland","19","173","High","3365"
"Vacuum Bags 12x16","Philippines","61","273","Low","3495"
"Bread - Hamburger Buns","China","70","272","Low","3317"
"Table Cloth 144x90 White","Indonesia","55","437","Medium","2717"
"Nescafe - Frothy French Vanilla","Nigeria","11","134","High","3651"
"Soup Campbells - Tomato Bisque","Portugal","72","213","Low","3183"
"Juice - Apple, 341 Ml","Canada","11","165","High","3901"
"Bread - Pita, Mini","Portugal","74","269","Low","3092"
"Chinese Foods - Cantonese","United States","48","388","Medium","3480"
"Tomatoes - Cherry, Yellow","Indonesia","2","153","High","3306"
"Cranberries - Dry","Thailand","64","263","Low","3449"
"Wine - Crozes Hermitage E.","Brazil","77","154","Low","2641"
"Cheese - Cambozola","China","8","108","High","4328"
"Tray - 12in Rnd Blk","Lebanon","81","284","Medium","3358"
"Chocolate - White","China","86","221","Low","3170"
"Sprouts - Brussel","China","27","118","High","3876"
"Quail - Jumbo Boneless","Russia","57","373","Medium","2768"
"Dc - Sakura Fu","China","88","214","Low","3297"
"Sprite - 355 Ml","Thailand","44","201","Low","3323"
"Brandy Cherry - Mcguinness","Indonesia","24","185","Medium","3696"
"Muffin Hinge 117n","Japan","55","353","Medium","2609"
"Glucose","Kazakhstan","30","397","Medium","2795"
"Triple Sec - Mcguinness","China","91","265","Low","3363"
"Pasta - Agnolotti - Butternut","China","23","148","High","3702"
"Lid Coffeecup 12oz D9542b","Lithuania","7","124","Medium","3782"
"Figs","China","76","252","Low","3395"
"Cauliflower","China","77","392","Medium","2804"
"Kohlrabi","Indonesia","66","278","Low","3379"
"Mustard - Dry, Powder","China","65","203","Low","3242"
"Flavouring - Raspberry","China","30","373","High","2703"
"Flax Seed","Norway","31","358","Medium","2588"
"Scallops - 10/20","Cambodia","7","187","High","3781"
"Tea - Decaf 1 Cup","France","13","163","High","3620"
"Icecream - Dstk Cml And Fdg","Philippines","17","160","High","3065"
"Chevril","Brazil","2","130","High","3496"
"Iced Tea Concentrate","Bangladesh","11","231","High","3618"
"Muffin Mix - Morning Glory","Indonesia","60","208","Low","3172"
"Sauce - Hoisin","Croatia","76","227","Low","3344"
"Table Cloth 53x53 White","Mexico","60","353","High","3470"
"Muffin - Mix - Strawberry Rhubarb","China","4","146","High","3216"
"Nut - Macadamia","Nigeria","58","348","Low","2960"
"Beef - Kobe Striploin","Poland","77","226","Low","3031"
"Chestnuts - Whole,canned","China","26","101","High","3111"
"Gelatine Powder","Tanzania","77","217","Low","3269"
"Juice - V8, Tomato","Yemen","59","359","Medium","2739"
"Onion Powder","Uruguay","70","248","Low","3183"
"Crab Meat Claw Pasteurise","Portugal","48","367","Medium","3185"
"Venison - Denver Leg Boneless","China","30","123","High","3395"
"Rice - Aborio","Portugal","16","28","High","3251"
"Avocado","Portugal","49","318","Medium","2790"
"Mustard Prepared","Kazakhstan","54","390","Medium","2698"
"Pomello","China","73","265","Medium","3059"
"Cake Circle, Foil, Scallop","Philippines","88","250","Low","3174"
"Dried Cranberries","Indonesia","78","252","Low","3288"
"Molasses - Fancy","Indonesia","32","375","Medium","2604"
"Beef Cheek Fresh","Macedonia","14","193","Low","3476"
"Mushroom - Enoki, Dry","France","8","142","High","3778"
"Beer - True North Strong Ale","Philippines","43","349","Medium","3350"
"Pernod","Sweden","72","309","Medium","3063"
"Muffin Mix - Raisin Bran","Indonesia","10","144","High","3352"
"External Supplier","Serbia","5","173","High","3467"
"Wine - Winzer Krems Gruner","Indonesia","88","246","Low","3049"
"Wine - White, Cooking","Russia","14","173","High","3743"
"Onions - Red Pearl","China","24","141","High","3624"
"Water - Green Tea Refresher","Albania","76","322","Low","3297"
"Broom - Angled","Mexico","1","189","High","3180"
"Pan Grease","Nigeria","21","117","High","3863"
"Beef - Salted","China","12","176","Medium","3275"
"Pepper - Orange","Japan","48","303","Medium","2949"
"Blueberries","New Caledonia","52","305","High","2282"
"Olives - Black, Pitted","Canada","46","327","High","3268"
"Doilies - 7, Paper","Central African Republic","95","262","Low","3350"
"Raisin - Golden","Brazil","84","295","Low","3288"
"Brandy Apricot","China","13","113","High","3176"
"Cookie - Oatmeal","Sweden","68","393","Medium","3470"
"Soup - Campbells Mushroom","Czech Republic","22","105","Low","3056"
"Broom - Angled","Poland","15","167","High","3396"
"Peppercorns - Green","Spain","22","155","High","3083"
"Tea - Decaf Lipton","Indonesia","56","332","Medium","3287"
"Wine - Alsace Gewurztraminer","Poland","26","199","High","3861"
"Cabbage - Savoy","Argentina","68","243","Low","3327"
"Doilies - 8, Paper","Czech Republic","11","182","High","3862"
"Spring Roll Wrappers","Poland","0","126","High","3814"
"Sandwich Wrap","China","66","284","Low","2626"
"Bread - White, Unsliced","Indonesia","2","132","Medium","3364"
"Bar Bran Honey Nut","Iran","11","106","High","3775"
"Wine - Lou Black Shiraz","Sweden","87","232","Low","3168"
"Kaffir Lime Leaves","Indonesia","20","266","High","3956"
"General Purpose Trigger","Costa Rica","71","202","Low","3173"
"Goldschalger","China","48","383","High","3490"
"Vinegar - White","China","36","385","Low","2542"
"Eggplant - Baby","Poland","87","242","Low","3354"
"Banana - Green","Serbia","21","182","High","3770"
"Crawfish","Haiti","81","269","Low","3442"
"Soup - Cream Of Broccoli, Dry","Vietnam","8","188","High","3868"
"Nantucket - 518ml","Ukraine","27","177","High","2789"
"Higashimaru Usukuchi Soy","China","61","204","Low","3133"
"Table Cloth 54x54 White","Saint Kitts and Nevis","13","157","High","3471"
"Chevere Logs","Serbia","15","110","High","3804"
"Bread - Corn Muffaletta","Sweden","66","290","Low","3189"
"Pepperoni Slices","Indonesia","59","358","High","3418"
"Pickles - Gherkins","Portugal","39","304","High","2605"
"Raisin - Dark","Indonesia","76","296","Medium","3399"
"Truffle Cups - White Paper","Honduras","34","353","Medium","3013"
"Langers - Ruby Red Grapfruit","Russia","51","300","Low","2661"
"Lidsoupcont Rp12dn","Russia","24","169","High","3538"
"Kirsch - Schloss","Philippines","45","367","Medium","3489"
"Pepper - Black, Crushed","United States","27","153","Low","3220"
"Wine - Magnotta - Bel Paese White","Greece","48","306","Medium","3220"
"Bacardi Breezer - Strawberry","Russia","3","110","High","3536"
"Shortbread - Cookie Crumbs","Philippines","69","264","Low","3131"
"Cleaner - Comet","Philippines","68","214","Low","3179"
"Corn Kernels - Frozen","Greece","60","281","Low","3342"
"Roe - White Fish","Iraq","66","282","Low","3370"
"Sugar - Individual Portions","France","0","231","High","3998"
"Broccoli - Fresh","Czech Republic","17","208","High","3727"
"Thermometer Digital","Japan","53","342","Medium","2881"
"Soup - French Can Pea","China","70","288","Medium","3112"
"Appetizer - Sausage Rolls","China","20","134","High","3176"
"Flavouring - Orange","China","59","341","Medium","2639"
"Pasta - Fettuccine, Egg, Fresh","Uruguay","37","372","High","3271"
"Beer - Sleeman Fine Porter","Indonesia","83","203","High","3329"
"Wine - Sherry Dry Sack, William","Jordan","13","120","High","3864"
"Pork - Butt, Boneless","Afghanistan","71","280","Low","3169"
"Tarragon - Fresh","Argentina","24","177","High","3065"
"Fond - Neutral","Indonesia","78","222","Low","3199"
"Yoplait - Strawbrasp Peac","Tajikistan","47","377","Medium","3479"
"Lemon Grass","Russia","55","366","High","3364"
"Plastic Arrow Stir Stick","Brazil","62","207","Low","3276"
"Transfer Sheets","Afghanistan","56","398","Medium","2693"
"Coffee - Ristretto Coffee Capsule","China","23","143","High","3718"
"Ham - Virginia","Namibia","72","206","Low","3563"
"Shortbread - Cookie Crumbs","Honduras","-7","190","High","3088"
"Pernod","Poland","5","114","High","3366"
"Wine - Fume Blanc Fetzer","Indonesia","73","244","Low","3317"
"Sachet","Guatemala","47","329","High","2545"
"Veal - Shank, Pieces","Venezuela","78","291","Low","3343"
"Pork - Liver","Indonesia","42","318","Medium","3324"
"Bag - Clear 7 Lb","Ghana","3","199","High","3890"
"Wine - Fat Bastard Merlot","Greece","82","285","Low","3327"
"Garbage Bag - Clear","Argentina","47","377","Medium","3107"
"Drambuie","Chad","22","165","High","3558"
"Chinese Foods - Chicken Wing","Philippines","47","359","High","2717"
"Pork - Caul Fat","Uzbekistan","20","127","High","3224"
"Wine - White, Colubia Cresh","Colombia","9","195","Low","3048"
"Olives - Nicoise","China","88","245","Low","3439"
"Wine - Niagara Peninsula Vqa","United States","13","188","High","3317"
"Juice Peach Nectar","China","53","331","Medium","3412"
"Lobster - Tail, 3 - 4 Oz","Laos","40","398","Medium","3353"
"Cream - 10%","France","58","310","Medium","2739"
"Beets - Mini Golden","Poland","61","260","Low","3058"
"Kellogs Cereal In A Cup","Ukraine","40","244","Medium","3291"
"Bread - Calabrese Baguette","Kyrgyzstan","64","210","Low","3370"
"Shrimp - Prawn","Peru","79","131","Low","3004"
"Clam - Cherrystone","China","64","219","Low","3317"
"Fuji Apples","Ethiopia","53","367","Medium","3028"
"Flour - Fast / Rapid","China","84","240","Low","3312"
"Steam Pan Full Lid","Brazil","12","180","Medium","3904"
"Chicken - Breast, 5 - 7 Oz","China","23","159","High","3528"
"Beer - Muskoka Cream Ale","Poland","30","328","High","2591"
"Dill Weed - Dry","Bulgaria","77","201","Low","3321"
"Tea - Earl Grey","Russia","44","355","Medium","2562"
"Sterno - Chafing Dish Fuel","Indonesia","34","370","Medium","2610"
"Chocolate - Semi Sweet","Indonesia","25","191","High","3050"
"Orange Roughy 4/6 Oz","Indonesia","13","168","High","3693"
"Carbonated Water - Raspberry","Bosnia and Herzegovina","41","377","Medium","3723"
"Gelatine Leaves - Envelopes","Portugal","8","166","High","3333"
"Cod - Fillets","Brazil","90","241","Medium","3001"
"Wine - Beringer Founders Estate","Indonesia","47","370","Low","2862"
"Miso Paste White","Poland","73","282","Low","3758"
"Wine - Red, Concha Y Toro","Czech Republic","1","146","High","3053"
"Apricots - Dried","Jamaica","71","263","Low","3375"
"Turkey - Whole, Fresh","Latvia","24","145","High","3963"
